Year,Month,Min,Max
1970,7,5.2,13.1
1970,8,5.1,13.4
1970,9,4.9,14.6
1970,10,7.2,18.8
1970,11,9.6,21.7
1970,12,11.5,24.4
1971,1,14.3,26
1971,2,15.5,26.8
1971,3,14,25.5
1971,4,11.4,21.5
1971,5,7.4,15.9
1971,6,6.3,13.2
1971,7,4.7,13
1971,8,4.7,13.8
1971,9,6.4,16.1
1971,10,7.6,18.1
1971,11,9.2,19.4
1971,12,11.6,24.4
1972,1,13.9,25
1972,2,15,26.8
1972,3,11.3,23.3
1972,4,9.8,20.3
1972,5,7.8,17.6
1972,6,4.1,13.9
1972,7,4.8,13.4
1972,8,6,14.9
1972,9,7.7,19
1972,10,8.2,19.8
1972,11,9.9,20.9
1972,12,12.5,26.5
1973,1,14.6,27.7
1973,2,14.9,25.6
1973,3,10.8,20.9
1973,4,10.9,20.2
1973,5,7.6,15.8
1973,6,4.9,13
1973,7,3.8,12.5
1973,8,5.5,13.3
1973,9,7.4,16.9
1973,10,9.2,19.7
1973,11,10,20.2
1973,12,12.5,25.8
1974,1,15.4,28.2
1974,2,14,25.9
1974,3,15.6,26.3
1974,4,11.4,18.5
1974,5,8.4,16.6
1974,6,6.1,13.5
1974,7,6,12.9
1974,8,5.4,13.4
1974,9,6.3,14.9
1974,10,8.4,17.6
1974,11,8.4,19.6
1974,12,9.8,23.8
1975,1,11.4,24.8
1975,2,14.4,27.6
1975,3,11.4,23.1
1975,4,9.7,19
1975,5,9.4,17.5
1975,6,5.5,13.4
1975,7,6.7,15.1
1975,8,6.1,13.2
1975,9,7.8,16.8
1975,10,9.7,17.9
1975,11,11.6,22.2
1975,12,13.6,24.3
1976,1,13.4,25.7
1976,2,15,27.5
1976,3,12.9,24.5
1976,4,10.7,20.4
1976,5,7.6,16.5
1976,6,6,13.5
1976,7,4.8,13.5
1976,8,5.1,13.9
1976,9,6.5,15.8
1976,10,7.6,16.3
1976,11,9.9,20.5
1976,12,11.4,25.3
1977,1,12.7,26.7
1977,2,13.8,26.4
1977,3,11.9,23.8
1977,4,9.3,18
1977,5,7.5,15.8
1977,6,6.2,12.4
1977,7,3.8,11.9
1977,8,6.4,15.3
1977,9,5.7,14.7
1977,10,8.5,20.8
1977,11,9.7,22.2
1977,12,11,24.9
1978,1,13.1,24.9
1978,2,12.7,25.3
1978,3,13.5,22.8
1978,4,9.7,19
1978,5,9.4,17.4
1978,6,6.2,12.8
1978,7,4.9,12.2
1978,8,5.1,13
1978,9,6.8,16
1978,10,7.9,19.3
1978,11,10.1,21.3
1978,12,11.2,22.1
1979,1,14.8,28.3
1979,2,14.7,26.6
1979,3,12.6,24.9
1979,4,9.2,18.6
1979,5,7.1,15.5
1979,6,7.1,14.5
1979,7,4.6,12.9
1979,8,5,13.7
1979,9,7.1,15.9
1979,10,9,18.9
1979,11,10.9,21.7
1979,12,11.4,26.4
1980,1,12,24.4
1980,2,12.3,25.5
1980,3,11.1,23.6
1980,4,11.3,21.8
1980,5,9,17.5
1980,6,6.6,12.9
1980,7,5.6,12.7
1980,8,6.5,15.3
1980,9,8.4,18.4
1980,10,9,20
1980,11,10.9,22.9
1980,12,13.5,26.7
1981,1,16.1,29.6
1981,2,16.3,28.1
1981,3,11.8,23.3
1981,4,10.2,22.3
1981,5,8.2,16.4
1981,6,6.2,12.9
1981,7,6.4,12.5
1981,8,6.2,13.5
1981,9,7.9,17.8
1981,10,8,19.6
1981,11,9.9,21.4
1981,12,11.8,24.1
1982,1,14.8,28.2
1982,2,13.9,26.9
1982,3,13.3,25.1
1982,4,10.1,21.1
1982,5,8.3,16.7
1982,6,4.4,12.8
1982,7,3.1,12.5
1982,8,6.2,17.4
1982,9,5.4,16.6
1982,10,7.6,19.5
1982,11,10.5,26.2
1982,12,12.1,24
1983,1,11.1,24.7
1983,2,15.2,29.5
1983,3,14.3,24.4
1983,4,9,17.8
1983,5,8.8,15.9
1983,6,5.1,12.7
1983,7,5.3,12
1983,8,6.7,14.4
1983,9,7.2,15.7
1983,10,8.6,17.5
1983,11,10.1,20.7
1983,12,12.5,24.3
1984,1,12.5,24
1984,2,12.8,26.5
1984,3,11.2,22.4
1984,4,9.1,19.6
1984,5,6.6,17.4
1984,6,5.9,13.9
1984,7,4.1,12.1
1984,8,6.6,14.6
1984,9,6.3,14.6
1984,10,8.4,19.3
1984,11,10.4,22.5
1984,12,10.2,23.5
1985,1,12.2,24.7
1985,2,12.1,25.5
1985,3,14.3,26.1
1985,4,11.6,21.6
1985,5,8.4,17.2
1985,6,5.6,12.9
1985,7,4.4,12.4
1985,8,5.9,13.7
1985,9,6.8,15.1
1985,10,7.9,19.4
1985,11,10.8,20.8
1985,12,12.3,22.8
1986,1,11.4,22.9
1986,2,12.1,26
1986,3,12.7,25.7
1986,4,9.6,19.4
1986,5,8.8,15.7
1986,6,5.8,12.7
1986,7,5.4,12.2
1986,8,5.4,14.2
1986,9,6.9,15.4
1986,10,7.5,17.3
1986,11,9.5,20.8
1986,12,10.7,22.7
1987,1,11,24.7
1987,2,11.8,26.3
1987,3,10.9,21.1
1987,4,10.5,20.9
1987,5,8.5,16
1987,6,6.4,13.9
1987,7,4.6,12.7
1987,8,6,14
1987,9,7.9,17.7
1987,10,8.2,18.5
1987,11,11.1,22.3
1987,12,11.3,22.6
1988,1,14.3,28.2
1988,2,12.9,25
1988,3,13,25.3
1988,4,11.1,21.7
1988,5,10.2,17.6
1988,6,6.8,14.3
1988,7,6.4,13.8
1988,8,6.5,14.4
1988,9,7.4,17.4
1988,10,8.6,20.4
1988,11,10.3,21.5
1988,12,13.5,24.2
1989,1,13.1,24.9
1989,2,14.2,26.8
1989,3,14.4,24.4
1989,4,11.4,20.3
1989,5,9.3,16.6
1989,6,5,12.7
1989,7,4.8,12.3
1989,8,4.9,12.8
1989,9,6.5,16.3
1989,10,7.7,18.3
1989,11,10.7,21.7
1989,12,11.8,25.2
1990,1,13.5,26.6
1990,2,13.6,24.8
1990,3,12.5,24.7
1990,4,10.9,20
1990,5,7.4,16.8
1990,6,5.7,13.7
1990,7,6.3,13.7
1990,8,5.6,13.4
1990,9,6.9,16.2
1990,10,9,19.4
1990,11,10.6,22.7
1990,12,12.1,26.2
1991,1,14.7,25.9
1991,2,12.1,25.6
1991,3,11.5,24.2
1991,4,9.2,19.9
1991,5,8,16.3
1991,6,8.4,14.7
1991,7,6.4,12.9
1991,8,5.9,13.8
1991,9,6.9,15.6
1991,10,9.6,20.7
1991,11,8.9,21.8
1991,12,11.7,22.7
1992,1,11.3,21.9
1992,2,13,24.5
1992,3,14.4,24.8
1992,4,10.8,21
1992,5,8.5,16.3
1992,6,6.7,13.2
1992,7,6.2,13.2
1992,8,5,13.3
1992,9,6.3,13.7
1992,10,9.4,18.3
1992,11,9.8,19.5
1992,12,13.8,23.5
1993,1,14.3,26.6
1993,2,14.6,26
1993,3,12.6,22.5
1993,4,10.9,22.5
1993,5,8.6,17.1
1993,6,6.8,13.2
1993,7,6.3,13.6
1993,8,6.8,16
1993,9,8,16.1
1993,10,8.3,18.3
1993,11,9.7,20
1993,12,11.7,22.4
1994,1,11.6,24.8
1994,2,14.6,25.7
1994,3,11.7,22.2
1994,4,10.6,20.3
1994,5,8.2,16.3
1994,6,6.5,14
1994,7,5.8,14.6
1994,8,4.9,14
1994,9,6.3,15.4
1994,10,8.7,19.7
1994,11,10.1,21.6
1994,12,13.8,27.3
1995,1,15.3,26.2
1995,2,14.7,26.1
1995,3,11.9,22.2
1995,4,8.5,17.3
1995,5,8.5,15.4
1995,6,6.8,12.8
1995,7,5.6,11.7
1995,8,6.3,15.5
1995,9,6.1,15.5
1995,10,8.1,17.7
1995,11,10.3,20.8
1995,12,10.1,20.2
1996,1,13.3,24.8
1996,2,12.5,23.5
1996,3,11.7,23.1
1996,4,9,17.6
1996,5,8.7,15.7
1996,6,5.7,14.1
1996,7,5.5,12.5
1996,8,6.4,14.3
1996,9,7,15.8
1996,10,9.5,19.2
1996,11,8.9,20.7
1996,12,9.8,22.2
1997,1,14.8,27.3
1997,2,16.8,30.3
1997,3,11.7,22.7
1997,4,9.3,20.9
1997,5,8.6,15.7
1997,6,6.2,13.7
1997,7,4.1,12.6
1997,8,5.1,14
1997,9,6.7,16.2
1997,10,8.8,20.1
1997,11,10.7,22.7
1997,12,12.3,24.6
1998,1,14.3,26.9
1998,2,12.9,27.6
1998,3,12.2,24.7
1998,4,9.2,18.7
1998,5,8.2,16
1998,6,6,13.3
1998,7,4.5,12.4
1998,8,5.8,14.8
1998,9,8.2,18
1998,10,8,18.7
1998,11,9,20.9
1998,12,12.5,24.7
1999,1,14.9,27
1999,2,15.3,27.7
1999,3,12.4,23.2
1999,4,8.2,19
1999,5,8.9,17.9
1999,6,6.3,14.3
1999,7,6,14.1
1999,8,7.3,15.2
1999,9,8.4,18.4
1999,10,9.3,20.2
1999,11,9.2,22.2
1999,12,12.7,24
2000,1,13.1,24.9
2000,2,16,29.5
2000,3,13.7,25.5
2000,4,10.5,21.2
2000,5,8.1,15.8
2000,6,6.5,13.6
2000,7,5.7,13.3
2000,8,5.4,14.8
2000,9,7.7,17.2
2000,10,8.5,17.8
2000,11,13.1,22.9
2000,12,12.2,26.2
2001,1,16.1,29.7
2001,2,16.5,29.2
2001,3,12.2,24.2
2001,4,9.8,20.2
2001,5,8,16
2001,6,7.6,14.9
2001,7,6.1,13.4
2001,8,6.5,14.6
2001,9,8.1,18.5
2001,10,8.1,18.7
2001,11,9.4,20.3
2001,12,10.2,21
2002,1,12.7,25.1
2002,2,13,24.7
2002,3,12.6,23.8
2002,4,10.9,21.2
2002,5,8.4,17.9
2002,6,6.8,14.8
2002,7,5.9,14.3
2002,8,5.5,15.2
2002,9,7.2,18
2002,10,8.4,20.5
2002,11,10.2,23.8
2002,12,12.5,25.2
2003,1,13.6,27.7
2003,2,15.1,26
2003,3,12.9,23.7
2003,4,10.3,20.4
2003,5,8.2,18
2003,6,7.5,14.7
2003,7,5.7,13.6
2003,8,5.4,13.7
2003,9,6.1,16.4
2003,10,7.5,16.4
2003,11,10.4,22.8
2003,12,13.5,27.4
2004,1,12.2,24.8
2004,2,13.5,26.4
2004,3,12.2,23.5
2004,4,10.7,20.9
2004,5,7.8,16.3
2004,6,7.1,13.9
2004,7,5.7,12.9
2004,8,6.4,15.2
2004,9,7.7,15.9
2004,10,8.9,20.2
2004,11,10.8,21.4
2004,12,12,23.9
2005,1,13.9,26.7
2005,2,12.6,23.3
2005,3,11.3,23.1
2005,4,11.6,23.4
2005,5,8.2,17.8
2005,6,6.7,15.4
2005,7,6.5,14.1
2005,8,6.7,14.9
2005,9,7.2,17
2005,10,9.7,20.5
2005,11,11.6,23.7
2005,12,12,27.5
2006,1,15.3,27.9
2006,2,13.7,25.2
2006,3,13.3,26
2006,4,8.7,18.6
2006,5,7.3,15.2
2006,6,4.5,13
2006,7,5.8,13.1
2006,8,5.8,15.8
2006,9,7.1,18.6
2006,10,7.3,21.5
2006,11,9.7,22.8
2006,12,11.5,25.2
2007,1,15.2,28.3
2007,2,16.4,29.6
2007,3,13.2,25.5
2007,4,10.4,22.2
2007,5,10.9,18.7
2007,6,5.4,12.6
2007,7,5.5,12.5
2007,8,6.4,16
2007,9,6.8,18
2007,10,8.9,21.2
2007,11,12.3,24.2
2007,12,13.7,26.3
2008,1,15.5,27.7
2008,2,13.3,24.1
2008,3,12.9,27.1
2008,4,9.2,20.5
2008,5,7.7,16.2
2008,6,8.1,14.7
2008,7,5.1,12.9
2008,8,5.2,13.4
2008,9,7,18.4
2008,10,9.1,21.7
2008,11,10.5,22.8
2008,12,11.1,23
2009,1,13.4,28.8
2009,2,14.3,27.9
2009,3,12.9,24.2
2009,4,9.9,20.3
2009,5,7.6,17
2009,6,6.1,14.3
2009,7,5.8,13.9
2009,8,7.4,15.8
2009,9,7.8,17.9
2009,10,8,19.4
2009,11,13.8,26.8
2009,12,12.7,25.1
2010,1,13.9,27
2010,2,15.9,27.8
2010,3,14.4,25
2010,4,12.4,22.1
2010,5,7.9,17.3
2010,6,6,13.4
2010,7,5.3,13.3
2010,8,5.5,13.4
2010,9,6.8,15.1
2010,10,8.4,19.4
2010,11,11.1,22
2010,12,11.9,24.1
2011,1,15,26.2
2011,2,14.3,24.2
2011,3,12.8,22.5
2011,4,9.3,20.3
2011,5,7.7,15.2
2011,6,6.2,14.6
2011,7,5.6,13.5
2011,8,6.6,16.3
2011,9,7.1,18.4
2011,10,9,19.8
2011,11,12,23.4
2011,12,12.2,24.4
2012,1,14.8,27.4
2012,2,14.4,26.9
2012,3,12.6,22.6
2012,4,9.9,21
2012,5,7.7,15.7
2012,6,5.9,13.4
2012,7,5.9,13.6
2012,8,5.9,14.1
2012,9,7.3,17.7
2012,10,8,20.3
2012,11,10.9,23.3
2012,12,12.5,26
2013,1,13.7,28
2013,2,15.3,29
2013,3,14.7,26.9
2013,4,10.3,20.5
2013,5,8,17.7
2013,6,5.8,14.1
2013,7,7,14.7
2013,8,7.2,15.6
2013,9,9.1,19.1
2013,10,8.8,18.9
2013,11,10.2,21.1
2013,12,11.9,24.7
2014,1,15.2,28.9
2014,2,14.3,28.8
2014,3,13.6,25.5
2014,4,11.6,20.1
2014,5,9.5,18.4
2014,6,8,14.7
2014,7,6.4,13.5
2014,8,5.8,15
2014,9,7.4,18.1
2014,10,9.1,22.1
2014,11,10.6,23.9
2014,12,12.8,24.9
2015,1,14,26.9
2015,2,15.5,28
2015,3,11.1,23.8
2015,4,8.9,19.4
2015,5,8.2,16.9
2015,6,5.7,13.8
2015,7,5.1,12.7
2015,8,6.3,13.4
2015,9,6.8,17.3
2015,10,10.7,25.5
2015,11,11.1,23.6
2015,12,13.2,29.1
2016,1,15.4,27.2
2016,2,14.9,27
2016,3,14.3,25.7
2016,4,11.9,22.7
2016,5,9.7,18.1
2016,6,6.5,13.5
2016,7,6.8,13.8
2016,8,6.4,15.2
2016,9,8.2,16.2
2016,10,7.9,18.5
2016,11,9.6,21.2
2016,12,12.7,26.3
2017,1,14.7,27.6
2017,2,12.9,26.7
2017,3,14.4,27.8
2017,4,10.9,20.6
2017,5,7.5,16.6
2017,6,5.4,14.3
2017,7,4.8,14
2017,8,5.4,14.2
2017,9,7,17.7
2017,10,8.9,21.6
2017,11,12.8,26.6
2017,12,13.3,25.6
2018,1,15.5,28.3
2018,2,14.5,27.9
2018,3,12.8,25.8
2018,4,10.3,22.9
2018,5,8.9,17.2
2018,6,5.3,13.9
2018,7,5.9,14.1
2018,8,5,14.8
2018,9,5.7,17.4
2018,10,9,21.8
2018,11,10.8,22.5
2018,12,14.3,26.1
2019,1,15.5,30.4
2019,2,14,27.7
2019,3,14,26.4
2019,4,10.4,22.6
2019,5,8.9,17.5
2019,6,7,14.7
2019,7,6.4,14.3
2019,8,5.5,14.1
2019,9,6.8,17.5
2019,10,8.5,21.6
2019,11,9.3,22.4
2019,12,12.4,26.4
2020,1,13.7,27.8
2020,2,14.4,24.9
